DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
18-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-JUN-2024,201.0,193.9,2500,OPEN,-196.0,2500,197.65,2500,9
18-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-JUN-2024,201.0,193.9,2500,CLOSE,-196.0,2500,197.65,2500,9
18-Jun-2024,FUTURE,MANAPPURAM FINANCE LIMITED,MANAFI-27-JUN-2024,194.0,188.3,3000,OPEN,-190.3,3000,192.9,3000,9
18-Jun-2024,FUTURE,MANAPPURAM FINANCE LIMITED,MANAFI-27-JUN-2024,194.0,188.3,3000,CLOSE,-190.3,3000,192.9,3000,9
19-Jun-2024,FUTURE,SUN PHARMACEUTICAL INDUSTRIES,SUNPHA-27-JUN-2024,1550.0,1517.0,350,OPEN,-1530.5,350,1517.0,350,8
19-Jun-2024,FUTURE,SUN PHARMACEUTICAL INDUSTRIES,SUNPHA-27-JUN-2024,1550.0,1517.0,350,CLOSE,-1530.5,350,1517.0,350,8
19-Jun-2024,FUTURE,INFOSYS LTD,INFTEC-27-JUN-2024,1535.0,1499.9,400,OPEN,-1512.0,400,1513.95,400,8
19-Jun-2024,FUTURE,CUMMINS INDIA LTD,CUMIND-27-JUN-2024,3760.0,3815.0,300,OPEN,3790.0,300,-3815.0,300,8
19-Jun-2024,FUTURE,INDUSIND BANK LIMITED,INDBA-27-JUN-2024,1560.0,1528.0,500,OPEN,-1540.0,500,1546.5,500,8
19-Jun-2024,FUTURE,INDUSIND BANK LIMITED,INDBA-27-JUN-2024,1560.0,1528.0,500,CLOSE,-1540.0,500,1546.5,500,8
19-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-JUN-2024,214.0,201.0,2500,OPEN,-201.5,2500,205.5,2500,8
20-Jun-2024,FUTURE,INFOSYS LTD,INFTEC-27-JUN-2024,1535.0,1499.9,400,CLOSE,-1512.0,400,1513.95,400,8
20-Jun-2024,FUTURE,CUMMINS INDIA LTD,CUMIND-27-JUN-2024,3760.0,3815.0,300,CLOSE,3790.0,300,-3815.0,300,8
20-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-JUN-2024,214.0,201.0,2500,CLOSE,-201.5,2500,205.5,2500,8
20-Jun-2024,FUTURE,DEEPAK NITRITE LIMITED,DEENIT-27-JUN-2024,2530.0,2482.0,300,OPEN,-2500.0,300,2513.0,300,7
20-Jun-2024,FUTURE,DEEPAK NITRITE LIMITED,DEENIT-27-JUN-2024,2530.0,2482.0,300,CLOSE,-2500.0,300,2513.0,300,7
20-Jun-2024,FUTURE,P I INDUSTRIES LTD,PIIND-27-JUN-2024,3920.0,3720.0,250,OPEN,-3720.0,250,3765.0,250,7
20-Jun-2024,FUTURE,P I INDUSTRIES LTD,PIIND-27-JUN-2024,3920.0,3720.0,250,CLOSE,-3720.0,250,3765.0,250,7
20-Jun-2024,FUTURE,DR. LAL PATHLABS LIMITED,DRLAL-27-JUN-2024,2745.0,2689.0,300,OPEN,-2711.0,300,2709.0,300,7
21-Jun-2024,FUTURE,DR. LAL PATHLABS LIMITED,DRLAL-27-JUN-2024,2745.0,2689.0,300,CLOSE,-2711.0,300,2709.0,300,7
21-Jun-2024,FUTURE,COFORGE LIMITED,NIITEC-27-JUN-2024,5750.0,5279.0,150,OPEN,-5450.0,150,0.0,0,6
21-Jun-2024,FUTURE,PVR INOX LIMITED,PVRLIM-27-JUN-2024,1430.0,1398.0,407,OPEN,-1411.0,407,1425.0,407,6
21-Jun-2024,FUTURE,PVR INOX LIMITED,PVRLIM-27-JUN-2024,1430.0,1398.0,407,CLOSE,-1411.0,407,1425.0,407,6
21-Jun-2024,FUTURE,HAVELLS INDIA LIMITED,HAVIND-27-JUN-2024,1860.0,1824.9,500,OPEN,-1836.0,500,1855.0,500,6
21-Jun-2024,FUTURE,HAVELLS INDIA LIMITED,HAVIND-27-JUN-2024,1860.0,1824.9,500,CLOSE,-1836.0,500,1855.0,500,6
21-Jun-2024,FUTURE,CAN FIN HOMES LTD,CANHOM-27-JUN-2024,880.0,860.0,975,OPEN,-868.0,975,862.5,975,6
21-Jun-2024,FUTURE,CAN FIN HOMES LTD,CANHOM-27-JUN-2024,880.0,860.0,975,CLOSE,-868.0,975,862.5,975,6
21-Jun-2024,FUTURE,TITAN COMPANY LIMITED,TITIND-27-JUN-2024,3260.0,3491.0,175,OPEN,3385.0,175,0.0,0,6
24-Jun-2024,FUTURE,BHARAT HEAVY ELECTRICALS LTD,BHEL-27-JUN-2024,285.0,293.75,2625,OPEN,290.0,2625,-293.75,2625,3
24-Jun-2024,FUTURE,BHARAT HEAVY ELECTRICALS LTD,BHEL-27-JUN-2024,285.0,293.75,2625,CLOSE,290.0,2625,-293.75,2625,3
24-Jun-2024,FUTURE,VOLTAS LTD,VOLTAS-27-JUN-2024,1520.0,1484.9,600,OPEN,-1497.5,600,1515.0,600,3
