DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
13-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50500-CE,75.0,172.5,15,OPEN,170.0,15,-142.5,15,6
13-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50500-CE,75.0,172.5,15,CLOSE,170.0,15,-142.5,15,6
13-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-PE,95.0,24.9,25,OPEN,-56.0,25,24.9,25,0
13-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-PE,95.0,24.9,25,CLOSE,-56.0,25,24.9,25,0
13-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-PE,60.0,9.9,25,OPEN,-25.0,25,9.9,25,0
13-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-PE,60.0,9.9,25,CLOSE,-25.0,25,9.9,25,0
14-Jun-2024,OPTIONS,HINDUSTAN PETROLEUM CORP,HINPET-27-JUN-2024-540-CE,25.0,12.8,1350,OPEN,-17.5,1350,12.8,1350,13
14-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23150-PE,15.0,50.5,25,OPEN,49.0,25,-34.5,25,6
14-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23150-PE,15.0,50.5,25,CLOSE,49.0,25,-34.5,25,6
14-Jun-2024,OPTIONS,JINDAL STEEL & POWER LIMITED,JINSP-27-JUN-2024-1050-CE,55.0,14.0,625,OPEN,-29.5,625,35.0,625,13
14-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50100-CE,410.0,245.0,15,OPEN,-305.0,15,245.0,15,5
14-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50100-CE,410.0,245.0,15,CLOSE,-305.0,15,245.0,15,5
14-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23400-CE,200.0,109.9,25,OPEN,-148.0,25,165.0,25,6
14-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23400-CE,200.0,109.9,25,CLOSE,-148.0,25,165.0,25,6
18-Jun-2024,OPTIONS,HINDUSTAN PETROLEUM CORP,HINPET-27-JUN-2024-540-CE,25.0,12.8,1350,CLOSE,-17.5,1350,12.8,1350,13
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50100-CE,320.0,165.0,15,OPEN,-220.0,15,280.0,15,1
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50100-CE,320.0,165.0,15,CLOSE,-220.0,15,280.0,15,1
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50200-CE,350.0,185.0,15,OPEN,-240.0,15,185.0,15,1
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50200-CE,350.0,185.0,15,CLOSE,-240.0,15,185.0,15,1
18-Jun-2024,OPTIONS,RBL BANK LIMITED,RBLBAN-27-JUN-2024-260-CE,14.0,3.4,2500,OPEN,-7.0,2500,13.0,2500,9
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50300-CE,300.0,140.0,15,OPEN,-200.0,15,250.0,15,1
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50300-CE,300.0,140.0,15,CLOSE,-200.0,15,250.0,15,1
18-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50500-CE,245.0,90.0,15,OPEN,-145.0,15,178.0,15,1
19-Jun-2024,OPTIONS,RBL BANK LIMITED,RBLBAN-27-JUN-2024-260-CE,14.0,3.4,2500,CLOSE,-7.0,2500,13.0,2500,9
19-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-50500-CE,245.0,90.0,15,CLOSE,-145.0,15,178.0,15,1
19-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23500-PE,15.0,85.1,25,OPEN,55.0,25,-15.0,25,1
19-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23500-PE,15.0,85.1,25,CLOSE,55.0,25,-15.0,25,1
19-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23450-PE,125.0,39.0,25,OPEN,-71.0,25,39.0,25,1
19-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23450-PE,125.0,39.0,25,CLOSE,-71.0,25,39.0,25,1
19-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-51100-CE,275.0,110.0,15,OPEN,-175.0,15,110.0,15,0
19-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-19-JUN-2024-51100-CE,275.0,110.0,15,CLOSE,-175.0,15,110.0,15,0
20-Jun-2024,OPTIONS,JINDAL STEEL & POWER LIMITED,JINSP-27-JUN-2024-1050-CE,55.0,14.0,625,CLOSE,-29.5,625,35.0,625,13
20-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23500-CE,95.0,24.9,25,OPEN,-52.0,25,65.0,25,0
20-Jun-2024,OPTIONS,NIFTY 50,NIFTY-20-JUN-2024-23500-CE,95.0,24.9,25,CLOSE,-52.0,25,65.0,25,0
20-Jun-2024,OPTIONS,VEDANTA LIMITED,VEDLIM-27-JUN-2024-460-CE,18.0,5.9,2300,OPEN,-11.0,2300,18.0,2300,7
20-Jun-2024,OPTIONS,VEDANTA LIMITED,VEDLIM-27-JUN-2024-460-CE,18.0,5.9,2300,CLOSE,-11.0,2300,18.0,2300,7
20-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51600-CE,520.0,340.0,15,OPEN,-410.0,15,340.0,15,6
20-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51600-CE,520.0,340.0,15,CLOSE,-410.0,15,340.0,15,6
20-Jun-2024,OPTIONS,GRASIM INDUSTRIES LIMITED,GRASIM-27-JUN-2024-2500-CE,56.0,14.0,477,OPEN,-30.0,477,30.5,477,7
21-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-23000-PE,165.0,112.0,40,OPEN,-135.0,40,162.0,40,4
21-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-23000-PE,165.0,112.0,40,CLOSE,-135.0,40,162.0,40,4
21-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23750-CE,30.0,95.1,25,OPEN,68.0,25,-53.5,25,6
21-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23750-CE,30.0,95.1,25,CLOSE,68.0,25,-53.5,25,6
21-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-22850-PE,145.0,88.0,40,OPEN,-112.0,40,88.0,40,4
21-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-22850-PE,145.0,88.0,40,CLOSE,-112.0,40,88.0,40,4
24-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51300-CE,438.0,270.0,15,OPEN,-338.0,15,270.0,15,2
24-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51300-CE,438.0,270.0,15,CLOSE,-338.0,15,270.0,15,2
24-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23550-CE,175.0,84.9,25,OPEN,-121.0,25,126.0,25,3
24-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-23050-PE,117.0,66.0,40,OPEN,-87.0,40,66.0,40,1
24-Jun-2024,OPTIONS,NIFTY FINANCIAL SERVICES INDEX,NIFFIN-25-JUN-2024-23050-PE,117.0,66.0,40,CLOSE,-87.0,40,66.0,40,1
25-Jun-2024,OPTIONS,GRASIM INDUSTRIES LIMITED,GRASIM-27-JUN-2024-2500-CE,56.0,14.0,477,CLOSE,-30.0,477,30.5,477,7
25-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23550-CE,175.0,84.9,25,CLOSE,-121.0,25,126.0,25,3
25-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51500-PE,45.0,205.0,15,OPEN,140.0,15,-95.0,15,1
25-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51500-PE,45.0,205.0,15,CLOSE,140.0,15,-95.0,15,1
25-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23700-CE,22.0,84.1,25,OPEN,57.5,25,-84.1,25,2
25-Jun-2024,OPTIONS,NIFTY 50,NIFTY-27-JUN-2024-23700-CE,22.0,84.1,25,CLOSE,57.5,25,-84.1,25,2
25-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51600-PE,20.0,120.0,15,OPEN,80.0,15,-66.0,15,1
25-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-26-JUN-2024-51600-PE,20.0,120.0,15,CLOSE,80.0,15,-66.0,15,1
