"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"18420","SHRAST","BE","SHRI ASTER SILICATES LIMITED",0.01,1,"","",0,10,"INE900K01012",0,0,258,2.15,"","","",0,0,0,1.45,1.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHRIASTER"
"18422","ASIHOT","EQ","ASIAN HOTELS (NORTH) LIMITED",0.01,1,"","",0,10,"INE363A01022",419.5,267.9,934,44.2,"","","",0,0,0,378.7,252.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASIANHOTNR"
"18423","RATPRE","EQ","RATNAVEER PRECISION ENG LTD",0.01,1,"","",0,10,"INE05CZ01011",190,115.99,273.97,107.1,"","","",0,0,0,181.32,120.88,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RATNAVEER"
"18430","RESMIN","BE","RESURGERE MINES & MINERALS IND",0.01,1,"","",0,10,"INE774I01031",0,0,242.62,0.35,"","","",0,0,0,0.42,0.38,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RMMIL"
"18431","BIGCON","EQ","BIGBLOC CONSTRUCTION LIMITED",0.01,1,"","",0,2,"INE412U01025",97.83,48.25,148.5,2.1,"","","",0,0,0,84.21,56.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BIGBLOC"
"1844","KECINT","EQ","ZZZ SUMMIT SECURITIES LIMITED",0.01,1,"","",0,10,"INE852A01016",0,0,401.8,3.65,"","","",0,0,0,19.95,13.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUMMIT"
"18442","BASFLY","SM","BASILIC FLY STUDIO LIMITED",0.01,1,"","",0,10,"INE0OCC01013",509.8,223.15,657.6,223.15,"","","",0,0,0,332,221.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BASILIC"
"18446","CREND7","N7","CREDITACCESS GRAMEEN LTD NCD",0.01,1,"","",0,1000,"INE741K07520",0,0,1009.8,896,"","","",0,0,0,1206,804,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","910CAGL25"
"18451","SGBT37","GB","2.50% SOV. GOLD BOND 11 MAR 28",0.01,1,"","",0,1000,"IN0020190552",0,0,16997.98,3448,"","","",0,0,0,17313.53,14165.63,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBMAR28X"
"18457","ABBPOW","EQ","HITACHI ENERGY INDIA LIMITED",0.01,1,"","",0,2,"INE07Y701011",22840,8801,22840,680,"","","",0,0,0,17835,14593,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","POWERINDIA"
"18462","CREND8","N8","0% CREDITACCESS  SEPT 25",0.01,1,"","",0,1000,"INE741K07561",0,0,1389,1080.2,"","","",0,0,0,1422,948,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAGL25"
