security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
3103,SHREECEM,Shree Cement,EQ,5,1,ES,E,NSE
17971,SBICARD,SBI Cards,EQ,5,1,ES,E,NSE
17094,CROMPTON,Crompton Greaves Consumer Elec,EQ,5,1,ES,E,NSE
1403,HINDOILEXP,Hindustan Oil Exploration,EQ,5,1,ES,E,NSE
13491,JKLAKSHMI,JK Lakshmi Cement,EQ,5,1,ES,E,NSE
6973,DMCC,DMCC Speciality Chemicals,EQ,5,1,ES,E,NSE
24265,ESTER,Ester Industries,EQ,5,1,ES,E,NSE
10786,NOIDATOLL,Noida Toll Bridge Co,EQ,5,1,ES,E,NSE
14223,TIIL,Technocraft Industries,EQ,5,1,ES,E,NSE
13528,GMRINFRA,GMR Airports Infrastructure,EQ,5,1,ES,E,NSE
9921,ALANKIT,Alankit,EQ,5,1,ES,E,NSE
31163,RHIM,Rhi Magnestia India,EQ,5,1,ES,E,NSE
29962,JUSTDIAL,Just Dial,EQ,5,1,ES,E,NSE
19234,LAURUSLABS,Laurus Labs,EQ,5,1,ES,E,NSE
308,BAJAJHIND,Bajaj Hindusthan Sugar,EQ,5,1,ES,E,NSE
10755,APTECHT,Aptech,EQ,5,1,ES,E,NSE
14607,TGBHOTELS,Tgb Banquets&Hotels,EQ,5,1,ES,E,NSE
5926,INTELLECT,Intellect Design Arena,EQ,5,1,ES,E,NSE
1008,FACT,Fertilizers & Chemicals T,EQ,5,1,ES,E,NSE
14450,IBREALEST,Indiabulls Real Estate,EQ,5,1,ES,E,NSE
25,ADANIENT,Adani Enterprises,EQ,5,1,ES,E,NSE
13801,SUTLEJTEX,Sutlej Text & Indus,EQ,5,1,ES,E,NSE
16713,UBL,United Breweries,EQ,5,1,ES,E,NSE
17477,CONTROLPR,Control Print,EQ,5,1,ES,E,NSE
1627,LINDEINDIA,Linde India,EQ,5,1,ES,E,NSE
694,CIPLA,Cipla,EQ,5,1,ES,E,NSE
21501,SIS,Security Intell Services,EQ,5,1,ES,E,NSE
14853,OMAXE,Omaxe,EQ,5,1,ES,E,NSE
804,SHIVATEX,SHIVA TEXYARN LIMITED,EQ,5,1,ES,E,NSE
15204,ARIES,Aries Agro,EQ,5,1,ES,E,NSE
25392,PANAMAPET,Panama Petrochem,EQ,5,1,ES,E,NSE
9007,NOVARTIND,NOVARTIS INDIA LIMITED,EQ,5,1,ES,E,NSE
9385,PNCINFRA,PNC Infratech,EQ,5,1,ES,E,NSE
25756,VIKASECO,Vikas Ecotech,EQ,5,1,ES,E,NSE
3812,ZEEL,Zee Entertainment,EQ,5,1,ES,E,NSE
15308,SEPC,Shriram Epc,EQ,5,1,ES,E,NSE
1841,KCP,K.C.P.Ltd.,EQ,5,1,ES,E,NSE
8477,XELPMOC,Xelpmoc Design & Tech,EQ,5,1,ES,E,NSE
11983,SASKEN,Sasken Technologies,EQ,5,1,ES,E,NSE
11868,63MOONS,63 Moons Technologies,EQ,5,1,ES,E,NSE
17364,VINATIORGA,Vinati Organics,EQ,5,1,ES,E,NSE
19447,CAPTRUST,Capital Trust,EQ,5,1,ES,E,NSE
10346,DGCONTENT,Digicontent,EQ,5,1,ES,E,NSE
14019,TIDEWATER,Tide Water Oil,EQ,5,1,ES,E,NSE
12034,BASML,Bannari Amman Spinning Mi,EQ,5,1,ES,E,NSE
19196,TI,Tilaknagar Industries,EQ,5,1,ES,E,NSE
3150,SIEMENS,Siemens,EQ,5,1,ES,E,NSE
12231,OCCL,Oriental Carbn & Chem,EQ,5,1,ES,E,NSE
13441,BALPHARMA,Bal Pharma,EQ,5,1,ES,E,NSE
